Award Date,Quarter and Fiscal Year,Commodity Category,Contract Description,WBG Organization,Selection Number,Supplier,Supplier Country,Supplier Country Code,Contract Award Amount,Fund Source,VPU description
09/30/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Scientific Coordination for Impact Evaluation Baseline Survey in Burkina Faso,IBRD,1115541,University Hospital Heidelberg,Germany,DE,325000.00,TRUST FUND,Africa
09/29/2013 12:00:00 AM,Q1 - FY14,SOFTWARE,Software development to support ICT-enabled Investment Climate reform in Bangladesh,IFC,14-0010,DataSoft Systems Bangladesh Li,Bangladesh,BD,,WBG,IFC VP Asia Pacific
09/27/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Consortium-Approach to the Development of Gas to Power and the Gas Ring in the Energy Community,IBRD,1090280,"Economic Consulting Associates, Ltd.",United Kingdom,GB,1290836.64,TRUST FUND,Europe and Central Asia
09/27/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Updating the Regional Balkans Infrastructure Study (REBIS),IBRD,1096179,Systema Consulting,Greece,GR,556297.09,TRUST FUND,Europe and Central Asia
09/26/2013 12:00:00 AM,Q1 - FY14,SOFTWARE,Software development to support ICT-enabled Investment Climate reform in Bangladesh,IFC,14-0010,Technohaven Company Ltd,Bangladesh,BD,,WBG,IFC VP Asia Pacific
09/26/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Retrospective Evaluation of the Global Facility for Disaster Reduction and Recovery (GFDRR) Program in a Sample of Disaster-prone Countries,IBRD,1114772,Fundacion Dara Internacional,Spain,ES,293273.00,TRUST FUND,Sustainable Development Network
09/26/2013 12:00:00 AM,Q1 - FY14,SOFTWARE,Software development to support ICT-enabled Investment Climate reform in Bangladesh,IFC,14-0010,ATI Limited,Bangladesh,BD,,WBG,IFC VP Asia Pacific
09/26/2013 12:00:00 AM,Q1 - FY14,SOFTWARE,Software development to support ICT-enabled Investment Climate reform in Bangladesh,IFC,14-0010,Synesis IT Ltd.,Bangladesh,BD,,WBG,IFC VP Asia Pacific
09/25/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Investment Prioritization for Resilient Livelihoods and Ecosystems in Coastal Zones of Tanzania,IBRD,1091861,DHI,Denmark,DK,489945.00,TRUST FUND,Africa
09/25/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Human Centered Design for Micro-insurance Products in Africa,IBRD,1114228,Design Continuum Inc.,USA,US,375600.00,TRUST FUND,IFC Financial & Private Sector Development
09/23/2013 12:00:00 AM,Q1 - FY14,SOFTWARE,Software development to support ICT-enabled Investment Climate reform in Bangladesh,IFC,14-0010,Business Automation Limited,Bangladesh,BD,,WBG,IFC VP Asia Pacific
09/23/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Facilitating Electronic Payments through Biometric Data Collection in the Cash transfer for orphans and vulnerable children Project in Kenya,IBRD,1115743,Agency For Development Research,Kenya,KE,273268.28,WBG,Africa
09/23/2013 12:00:00 AM,Q1 - FY14,CONTRACT CONSULTANTS,Southern African Development Community Visa Facilitation Initiative,IBRD,1117539,IBM East Africa,Kenya,KE,391800.47,TRUST FUND,Africa
